Well,DEPTH,GR,DT,NPHI,RHOB
IJS-57,821.9,52.039406,370.2271,0.261225,2.237223
IJS-57,822.0,51.845985,370.3082,0.266433,2.238393
IJS-57,822.1,51.903412,372.1671,0.271797,2.235911
IJS-57,822.2,51.838081,375.5516,0.275729,2.23044
IJS-57,822.3,51.418495,380.7858,0.27695,2.21212
IJS-57,822.4,50.697243,388.4425,0.275949,2.16679
IJS-57,822.5,49.972954,398.9383,0.274008,2.091012
IJS-57,822.6,49.755081,410.9229,0.271829,2.001926
IJS-57,822.7,50.395813,421.9312,0.270283,1.919613
IJS-57,822.8,51.841576,429.2148,0.270521,1.857543
IJS-57,822.9,53.619225,430.4815,0.272556,1.826214
IJS-57,823.0,55.119019,425.5841,0.27503,1.830053
IJS-57,823.1,55.856705,416.1394,0.276438,1.869659
IJS-57,823.2,55.740425,405.4752,0.275544,1.935065
IJS-57,823.3,55.013351,396.839,0.271645,2.006108
IJS-57,823.4,53.874298,392.2487,0.264955,2.063627
IJS-57,823.5,52.536301,392.3121,0.256677,2.098677
IJS-57,823.6,51.206993,396.0085,0.24867,2.1173
IJS-57,823.7,50.158676,401.1228,0.243578,2.128204
IJS-57,823.8,49.612167,405.1319,0.24283,2.137748
IJS-57,823.9,49.672302,406.0081,0.245894,2.148395
IJS-57,824.0,50.129784,402.7248,0.250479,2.160365
IJS-57,824.1,50.608253,395.9276,0.254387,2.173583
IJS-57,824.2,50.79834,387.3781,0.256531,2.186331
IJS-57,824.3,50.530899,379.7498,0.256498,2.193831
IJS-57,824.4,49.997528,375.2116,0.25484,2.190538
IJS-57,824.5,49.767952,375.3997,0.252824,2.172051
IJS-57,824.6,50.257019,380.7068,0.252059,2.139034
IJS-57,824.7,51.440369,390.6353,0.253902,2.0965
IJS-57,824.8,52.872253,403.2343,0.259059,2.053894
IJS-57,824.9,54.041176,416.0592,0.267411,2.017931
IJS-57,825.0,54.678886,426.9033,0.278187,1.990474
IJS-57,825.1,54.833763,433.5952,0.289442,1.972224
IJS-57,825.2,54.771027,435.1974,0.297147,1.962252
IJS-57,825.3,54.705933,431.8038,0.296784,1.958591
IJS-57,825.4,54.729736,424.921,0.288351,1.95693
IJS-57,825.5,54.813385,416.807,0.275704,1.952919
IJS-57,825.6,54.876167,410.1632,0.263895,1.944603
IJS-57,825.7,54.825218,406.7963,0.254849,1.932084
IJS-57,825.8,54.584183,407.3672,0.249997,1.916847
IJS-57,825.9,54.182388,411.5551,0.250163,1.902321
IJS-57,826.0,53.725403,418.2944,0.254492,1.891114
IJS-57,826.1,53.388107,426.2031,0.260823,1.883483
IJS-57,826.2,53.405739,433.8891,0.266993,1.877517
IJS-57,826.3,53.861031,440.541,0.272606,1.871124
IJS-57,826.4,54.654343,445.3509,0.278722,1.865807
IJS-57,826.5,55.580177,447.9026,0.286768,1.865684
IJS-57,826.6,56.367287,447.9463,0.296843,1.87558
IJS-57,826.7,56.754166,445.4095,0.307033,1.898803
IJS-57,826.8,56.662643,440.695,0.314269,1.935557
IJS-57,826.9,56.192871,434.5567,0.315677,1.981162
IJS-57,827.0,55.457153,427.7332,0.310146,2.02754
IJS-57,827.1,54.672058,420.7237,0.299765,2.068502
IJS-57,827.2,53.982033,414.0329,0.288518,2.101927
IJS-57,827.3,53.20195,407.7838,0.279286,2.131448
IJS-57,827.4,52.019058,401.9669,0.272347,2.160794
IJS-57,827.5,50.228889,396.7017,0.266441,2.189461
IJS-57,827.6,47.786713,391.7817,0.260526,2.215781
IJS-57,827.7,44.985199,386.993,0.254335,2.237421
IJS-57,827.8,42.337502,382.1559,0.248081,2.253017
IJS-57,827.9,40.408577,377.0183,0.242741,2.262762
IJS-57,828.0,39.619629,371.6323,0.240036,2.267039
IJS-57,828.1,40.000961,366.3705,0.24131,2.267214
IJS-57,828.2,41.229202,362.172,0.246863,2.264647
IJS-57,828.3,42.8508,360.449,0.255524,2.259519
IJS-57,828.4,44.55722,362.4836,0.265411,2.250509
IJS-57,828.5,46.128242,369.0395,0.274599,2.235936
IJS-57,828.6,47.432159,379.728,0.282491,2.215438
IJS-57,828.7,48.63166,393.4044,0.289274,2.189656
IJS-57,828.8,49.990318,407.7928,0.295384,2.161255
IJS-57,828.9,51.670235,420.3647,0.301135,2.133342
IJS-57,829.0,53.483658,428.6725,0.304308,2.109436
IJS-57,829.1,54.887238,430.9623,0.301775,2.093438
IJS-57,829.2,55.413116,427.0299,0.293584,2.088174
IJS-57,829.3,54.931145,418.1496,0.283064,2.09517
IJS-57,829.4,53.780128,407.2253,0.274474,2.112361
IJS-57,829.5,52.58371,397.6098,0.269541,2.134171
IJS-57,829.6,51.999985,392.6132,0.268142,2.152236
IJS-57,829.7,52.326378,394.3892,0.268772,2.158377
IJS-57,829.8,53.361298,403.468,0.269598,2.147117
IJS-57,829.9,54.584229,418.1784,0.270266,2.118855
IJS-57,830.0,55.551544,435.7232,0.272026,2.0788
IJS-57,830.1,56.046593,452.5112,0.276154,2.035015
IJS-57,830.2,56.023865,464.8653,0.282327,1.996692
IJS-57,830.3,55.529099,470.6612,0.287844,1.969695
IJS-57,830.4,54.696281,469.195,0.290735,1.957228
IJS-57,830.5,53.69751,461.3308,0.291478,1.95885
IJS-57,830.6,52.749725,449.2924,0.290854,1.969984
IJS-57,830.7,52.151131,436.4517,0.288115,1.982502
IJS-57,830.8,52.114647,425.5388,0.281733,1.989957
IJS-57,830.9,52.647728,418.1292,0.271987,1.990567
IJS-57,831.0,53.419991,414.4088,0.261037,1.988003
IJS-57,831.1,53.984032,413.0434,0.251853,1.988503
IJS-57,831.2,54.100563,412.0075,0.247736,1.997175
IJS-57,831.3,53.877151,409.236,0.249992,2.015914
IJS-57,831.4,53.635918,403.3682,0.256239,2.044215
IJS-57,831.5,53.617683,394.371,0.261742,2.078833
IJS-57,831.6,53.783241,383.5115,0.263171,2.11431
IJS-57,831.7,53.853378,372.7003,0.26118,2.146102
IJS-57,831.8,53.425819,364.4616,0.259337,2.171483
IJS-57,831.9,52.192978,360.6924,0.260726,2.190426
IJS-57,832.0,50.223602,362.9553,0.265572,2.200228
IJS-57,832.1,48.174873,371.9328,0.270646,2.190575
IJS-57,832.2,46.750702,387.0385,0.271703,2.148655
IJS-57,832.3,46.305084,406.2801,0.266115,2.072102
IJS-57,832.4,46.706825,426.3356,0.255263,1.974826
IJS-57,832.5,47.502991,444.2009,0.243832,1.872906
IJS-57,832.6,48.068504,456.649,0.238387,1.783314
IJS-57,832.7,48.072159,463.289,0.242552,1.710043
IJS-57,832.8,47.614143,464.6081,0.25621,1.658287
IJS-57,832.9,47.076515,461.7586,0.276147,1.632536
IJS-57,833.0,46.870407,455.6923,0.297391,1.634605
IJS-57,833.1,47.220985,446.5802,0.311554,1.66668
IJS-57,833.2,47.964897,434.5072,0.310424,1.729917
IJS-57,833.3,48.719398,419.8454,0.294874,1.8219
IJS-57,833.4,49.24881,404.1462,0.273326,1.93122
IJS-57,833.5,49.467484,390.7098,0.255039,2.032174
IJS-57,833.6,49.457169,382.4595,0.242429,2.102466
IJS-57,833.7,49.339424,381.8269,0.237669,2.129085
IJS-57,833.8,49.175163,389.3161,0.240827,2.112497
IJS-57,833.9,48.878624,403.9884,0.250469,2.053652
IJS-57,834.0,48.362419,422.9723,0.263375,1.959983
IJS-57,834.1,47.673851,442.9142,0.275986,1.850134
IJS-57,834.2,46.934807,460.9938,0.286719,1.744072
IJS-57,834.3,46.199661,474.526,0.295809,1.657391
IJS-57,834.4,45.407936,482.7291,0.304818,1.592109
IJS-57,834.5,44.507561,485.3848,0.314367,1.549689
IJS-57,834.6,43.541092,483.2111,0.323874,1.528309
IJS-57,834.7,42.760826,477.252,0.330856,1.524865
IJS-57,834.8,42.573395,468.8867,0.328912,1.535844
IJS-57,834.9,43.258896,459.1986,0.315747,1.556537
IJS-57,835.0,44.816673,448.8775,0.29656,1.58183
IJS-57,835.1,46.816132,438.7278,0.279319,1.604629
IJS-57,835.2,48.657951,428.9566,0.271009,1.61885
IJS-57,835.3,49.701942,420.3015,0.273031,1.620499
IJS-57,835.4,49.712387,413.3092,0.282853,1.610682
IJS-57,835.5,48.927597,408.2789,0.296093,1.593434
IJS-57,835.6,47.861221,405.7755,0.305847,1.574153
IJS-57,835.7,46.901695,406.5107,0.308447,1.556252
IJS-57,835.8,46.162216,411.35,0.303476,1.540866
IJS-57,835.9,45.53511,420.3088,0.294179,1.529634
IJS-57,836.0,44.771957,432.2175,0.285193,1.525545
IJS-57,836.1,43.667892,445.1101,0.279529,1.532084
IJS-57,836.2,42.272667,456.4887,0.277387,1.551189
IJS-57,836.3,40.771263,464.7302,0.276329,1.580745
