DEPTH,POROSITY,HOR_PERMEABILITY,VERT_PERMEABILITY,GRAIN_DENSITY,FORMATION_FACTOR,NITG_NR,UWI,SHORT_NM,ANALYSIS_NR,CORE_NR,LAB,LAB_NR,LAB_REPORT_DATE,REMARK,TOP_STRAT,BOTTOM_STRAT,STRAT_UNIT_CD,STRAT_UNIT_NM
693.7000,29.6000,110.0000,,2.6500,,B37H0712,1461,IJS-57,K-0030,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
694.0000,0.5000,,,3.3400,,B37H0712,1461,IJS-57,K-0031,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
694.4000,25.8000,14.0000,,2.6600,,B37H0712,1461,IJS-57,K-0032,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
694.6000,27.4000,43.0000,,2.6500,,B37H0712,1461,IJS-57,K-0033,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
694.9000,27.7000,54.0000,,2.6500,,B37H0712,1461,IJS-57,K-0034,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
695.3000,27.0000,45.0000,,2.6600,,B37H0712,1461,IJS-57,K-0035,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
695.6000,26.9000,41.0000,,2.6600,,B37H0712,1461,IJS-57,K-0036,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
695.9000,31.3000,160.0000,,2.6700,,B37H0712,1461,IJS-57,K-0037,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
696.3900,33.9000,,,2.6500,,B37H0712,1461,IJS-57,K-0038N,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
696.4000,31.9000,140.0000,,2.6500,,B37H0712,1461,IJS-57,K-0038,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
696.7000,31.5000,190.0000,,2.6400,,B37H0712,1461,IJS-57,K-0039,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
697.0000,29.2000,98.0000,,2.6400,,B37H0712,1461,IJS-57,K-0040,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
697.4000,25.8000,35.0000,,2.6500,,B37H0712,1461,IJS-57,K-0041,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
702.1000,,,,2.6600,,B37H0712,1461,IJS-57,K-0042,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
702.4000,,,,2.6500,,B37H0712,1461,IJS-57,K-0043,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
973.5000,30.4000,7200.0000,,2.6500,,B37H0712,1461,IJS-57,K-0044,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
974.1000,31.1000,3900.0000,,2.6500,,B37H0712,1461,IJS-57,K-0045,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
974.8000,32.7000,8000.0000,,2.6500,,B37H0712,1461,IJS-57,K-0046,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
975.1000,31.8000,3200.0000,,2.6500,,B37H0712,1461,IJS-57,K-0047,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
975.5000,30.7000,5800.0000,,2.6500,,B37H0712,1461,IJS-57,K-0048,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
975.8000,,,,2.6500,,B37H0712,1461,IJS-57,K-0049,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
