DEPTH,POROSITY,HOR_PERMEABILITY,VERT_PERMEABILITY,GRAIN_DENSITY,FORMATION_FACTOR,NITG_NR,UWI,SHORT_NM,ANALYSIS_NR,CORE_NR,LAB,LAB_NR,LAB_REPORT_DATE,REMARK,TOP_STRAT,BOTTOM_STRAT,STRAT_UNIT_CD,STRAT_UNIT_NM
1055.2000,26.3000,55.0000,,2.6300,,B37H0712,1461,IJS-57,K-0134,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1056.1000,24.7000,67.0000,,2.6500,,B37H0712,1461,IJS-57,K-0135,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1056.3500,25.9000,130.0000,,,,B37H0712,1461,IJS-57,K-0135A,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1056.4000,25.1000,170.0000,,2.6500,,B37H0712,1461,IJS-57,K-0136,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1056.8000,21.9000,38.0000,,2.6400,,B37H0712,1461,IJS-57,K-0137,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1057.2000,33.0000,750.0000,,2.6500,,B37H0712,1461,IJS-57,K-0138,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1057.6000,28.3000,490.0000,,2.6500,,B37H0712,1461,IJS-57,K-0139,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1058.2000,26.3000,100.0000,,2.6300,,B37H0712,1461,IJS-57,K-0140,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1062.5000,30.3000,450.0000,,2.6500,,B37H0712,1461,IJS-57,K-0141,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1062.8000,23.8000,420.0000,,2.6300,,B37H0712,1461,IJS-57,K-0142,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1063.4000,15.2000,0.2500,,2.6600,,B37H0712,1461,IJS-57,K-0143,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1064.5000,17.0000,1.6000,,2.6600,,B37H0712,1461,IJS-57,K-0144,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1065.4000,14.2000,13.0000,,2.6900,,B37H0712,1461,IJS-57,K-0145,1 t/m 2,KSEPL,,,,1065.0000,1132.0000,SLDNA,Alblasserdam Member
1065.7000,19.1000,7.8000,,2.6800,,B37H0712,1461,IJS-57,K-0146,1 t/m 2,KSEPL,,,,1065.0000,1132.0000,SLDNA,Alblasserdam Member
1066.2000,19.8000,50.0000,,2.6700,,B37H0712,1461,IJS-57,K-0147,1 t/m 2,KSEPL,,,,1065.0000,1132.0000,SLDNA,Alblasserdam Member
1066.7000,23.0000,59.0000,,2.6600,,B37H0712,1461,IJS-57,K-0148,1 t/m 2,KSEPL,,,,1065.0000,1132.0000,SLDNA,Alblasserdam Member
1067.4000,22.8000,220.0000,,2.6700,,B37H0712,1461,IJS-57,K-0149,1 t/m 2,KSEPL,,,,1065.0000,1132.0000,SLDNA,Alblasserdam Member
1067.9000,21.0000,110.0000,,2.6500,,B37H0712,1461,IJS-57,K-0150,1 t/m 2,KSEPL,,,,1065.0000,1132.0000,SLDNA,Alblasserdam Member
1068.4000,18.3000,1.5000,,2.6400,,B37H0712,1461,IJS-57,K-0151,1 t/m 2,KSEPL,,,,1065.0000,1132.0000,SLDNA,Alblasserdam Member
1068.8000,17.2000,41.0000,,2.6500,,B37H0712,1461,IJS-57,K-0152,1 t/m 2,KSEPL,,,,1065.0000,1132.0000,SLDNA,Alblasserdam Member
1069.4000,,,,2.6600,,B37H0712,1461,IJS-57,K-0153,1 t/m 2,KSEPL,,,,1065.0000,1132.0000,SLDNA,Alblasserdam Member
